Id,Name,Code,Country,Founded,National,Logo,CurrentLeagueRank,Points,GoalsDiff,Played,Win,Draw,Lose,GoalsFor,GoalsAgainst,LeagueId
195,"Willem II","","",,0,https://media.api-sports.io/football/teams/195.png,9,22,2,17,6,4,7,21,19,88
197,"PSV Eindhoven","","",,0,https://media.api-sports.io/football/teams/197.png,1,45,46,17,15,0,2,59,13,88
201,"AZ Alkmaar","","",,0,https://media.api-sports.io/football/teams/201.png,5,32,14,17,10,2,5,31,17,88
202,Groningen,"","",,0,https://media.api-sports.io/football/teams/202.png,14,16,-12,16,4,4,8,14,26,88
203,"NAC Breda","","",,0,https://media.api-sports.io/football/teams/203.png,10,22,-8,17,7,1,9,19,27,88
205,"Fortuna Sittard","","",,0,https://media.api-sports.io/football/teams/205.png,8,25,0,17,7,4,6,25,25,88
206,Heracles,"","",,0,https://media.api-sports.io/football/teams/206.png,15,14,-15,16,3,5,8,18,33,88
207,Utrecht,"","",,0,https://media.api-sports.io/football/teams/207.png,3,36,6,17,11,3,3,34,28,88
209,Feyenoord,"","",,0,https://media.api-sports.io/football/teams/209.png,4,35,19,17,10,5,2,40,21,88
210,Heerenveen,"","",,0,https://media.api-sports.io/football/teams/210.png,11,21,-14,17,6,3,8,17,31,88
410,"GO Ahead Eagles","","",,0,https://media.api-sports.io/football/teams/410.png,7,25,3,17,7,4,6,30,27,88
413,"NEC Nijmegen","","",,0,https://media.api-sports.io/football/teams/413.png,12,17,-1,17,5,2,10,23,24,88
415,Twente,"","",,0,https://media.api-sports.io/football/teams/415.png,6,31,11,17,9,4,4,32,21,88
417,Waalwijk,"","",,0,https://media.api-sports.io/football/teams/417.png,18,7,-23,17,1,4,12,18,41,88
419,"Almere City FC","","",,0,https://media.api-sports.io/football/teams/419.png,17,9,-27,17,2,3,12,10,37,88
426,"Sparta Rotterdam","","",,0,https://media.api-sports.io/football/teams/426.png,16,12,-12,17,2,6,9,14,26,88
487,Lazio,"","",,0,https://media.api-sports.io/football/teams/487.png,4,34,8,17,11,1,5,32,24,135
489,"AC Milan","","",,0,https://media.api-sports.io/football/teams/489.png,8,26,9,16,7,5,4,25,16,135
490,Cagliari,"","",,0,https://media.api-sports.io/football/teams/490.png,18,14,-12,17,3,5,9,16,28,135
492,Napoli,"","",,0,https://media.api-sports.io/football/teams/492.png,2,38,14,17,12,2,3,26,12,135
494,Udinese,"","",,0,https://media.api-sports.io/football/teams/494.png,9,23,-5,17,7,2,8,21,26,135
495,Genoa,"","",,0,https://media.api-sports.io/football/teams/495.png,13,16,-12,17,3,7,7,14,26,135
496,Juventus,"","",,0,https://media.api-sports.io/football/teams/496.png,6,31,15,17,7,10,0,28,13,135
497,"AS Roma","","",,0,https://media.api-sports.io/football/teams/497.png,10,19,0,17,5,4,8,23,23,135
499,Atalanta,"","",,0,https://media.api-sports.io/football/teams/499.png,1,40,23,17,13,1,3,42,19,135
500,Bologna,"","",,0,https://media.api-sports.io/football/teams/500.png,7,28,5,16,7,7,2,23,18,135
502,Fiorentina,"","",,0,https://media.api-sports.io/football/teams/502.png,5,31,16,16,9,4,3,29,13,135
503,Torino,"","",,0,https://media.api-sports.io/football/teams/503.png,12,19,-5,17,5,4,8,17,22,135
504,Verona,"","",,0,https://media.api-sports.io/football/teams/504.png,17,15,-19,17,5,0,12,21,40,135
505,Inter,"","",,0,https://media.api-sports.io/football/teams/505.png,3,34,25,15,10,4,1,40,15,135
511,Empoli,"","",,0,https://media.api-sports.io/football/teams/511.png,11,19,-3,17,4,7,6,16,19,135
517,Venezia,"","",,0,https://media.api-sports.io/football/teams/517.png,19,13,-13,17,3,4,10,17,30,135
523,Parma,"","",,0,https://media.api-sports.io/football/teams/523.png,16,15,-10,17,3,6,8,23,33,135
529,Barcelona,"","",,0,https://media.api-sports.io/football/teams/529.png,3,38,29,19,12,2,5,51,22,140
530,"Atletico Madrid","","",,0,https://media.api-sports.io/football/teams/530.png,1,41,21,18,12,5,1,33,12,140
531,"Athletic Club","","",,0,https://media.api-sports.io/football/teams/531.png,4,36,12,19,10,6,3,29,17,140
532,Valencia,"","",,0,https://media.api-sports.io/football/teams/532.png,19,12,-10,17,2,6,9,16,26,140
533,Villarreal,"","",,0,https://media.api-sports.io/football/teams/533.png,5,30,4,18,8,6,4,34,30,140
534,"Las Palmas","","",,0,https://media.api-sports.io/football/teams/534.png,13,22,-4,18,6,4,8,23,27,140
