Id,Age,BirthId,FirstName,Height,LastName,Name,Nationality,Number,Photo,Position,TeamId
389031,17,,"",,"","Jayce Fitzgerald","",76,https://media.api-sports.io/football/players/389031.png,Midfielder,33
389035,18,,"",,"","Farid Alfa-Ruprecht","",,https://media.api-sports.io/football/players/389035.png,Attacker,50
389067,21,,"",,"","M. de Lannoy","",34,https://media.api-sports.io/football/players/389067.png,Midfielder,410
389302,18,,"",,"","T. Edozie","",74,https://media.api-sports.io/football/players/389302.png,Attacker,39
389315,17,,"",,"","Joshua King","",24,https://media.api-sports.io/football/players/389315.png,Midfielder,36
389322,18,,"",,"","N. Sangui","",55,https://media.api-sports.io/football/players/389322.png,Defender,93
389600,20,,"",,"",Antonino,"",31,https://media.api-sports.io/football/players/389600.png,Attacker,547
391131,20,,"",,"",Reque,"",30,https://media.api-sports.io/football/players/391131.png,Midfielder,533
391311,18,,"",,"","Á. Yaakobishvili","",40,https://media.api-sports.io/football/players/391311.png,Goalkeeper,529
391822,20,,"",,"","Fer López","",28,https://media.api-sports.io/football/players/391822.png,Midfielder,538
392044,20,,"",,"","T. van Bergen","",26,https://media.api-sports.io/football/players/392044.png,Attacker,202
392254,17,,"",,"","Francis-Ikechukwu Onyeka","",40,https://media.api-sports.io/football/players/392254.png,Attacker,168
392258,19,,"",,"","P. Reverson","",52,https://media.api-sports.io/football/players/392258.png,Goalkeeper,194
392270,18,,"",,"","Marc Guiu","",38,https://media.api-sports.io/football/players/392270.png,Attacker,49
392305,18,,"",,"","J. Arango","",34,https://media.api-sports.io/football/players/392305.png,Midfielder,547
392379,19,,"",,"","L. Baroncelli","",61,https://media.api-sports.io/football/players/392379.png,Defender,502
392417,19,,"",,"","T. Gijselhart","",38,https://media.api-sports.io/football/players/392417.png,Midfielder,193
392455,20,,"",,"","Germán García","",30,https://media.api-sports.io/football/players/392455.png,Goalkeeper,543
392569,19,,"",,"","Sékou Doucouré","",72,https://media.api-sports.io/football/players/392569.png,Defender,83
392607,19,,"",,"","Maeson King","",,https://media.api-sports.io/football/players/392607.png,Defender,47
392656,20,,"",,"","M. Diadie","",64,https://media.api-sports.io/football/players/392656.png,Midfielder,93
392671,22,,"",,"","L. Diarra","",50,https://media.api-sports.io/football/players/392671.png,Goalkeeper,80
392683,18,,"",,"","E. Mbondo","",43,https://media.api-sports.io/football/players/392683.png,Defender,81
393190,17,,"",,"","Tyler Louis Meiser","",45,https://media.api-sports.io/football/players/393190.png,Defender,165
393195,19,,"",,"","W. Lankshear","",42,https://media.api-sports.io/football/players/393195.png,Attacker,47
393870,23,,"",,"","N. van Berkel","",44,https://media.api-sports.io/football/players/393870.png,Defender,195
393871,21,,"",,"","A. Lachkar","",34,https://media.api-sports.io/football/players/393871.png,Defender,195
393926,18,,"",,"","Gaël Lafont","",47,https://media.api-sports.io/football/players/393926.png,Midfielder,81
393947,19,,"",,"","J. Seghetti","",12,https://media.api-sports.io/football/players/393947.png,Goalkeeper,511
394185,18,,"",,"","R. Londja","",70,https://media.api-sports.io/football/players/394185.png,Attacker,111
394438,19,,"",,"","L. Colombo","",57,https://media.api-sports.io/football/players/394438.png,Midfielder,1579
394496,19,,"",,"","P. Tornaghi","",41,https://media.api-sports.io/football/players/394496.png,Defender,499
394501,18,,"",,"","Bradley Moonan","",72,https://media.api-sports.io/football/players/394501.png,Defender,45
394608,20,,"",,"","J. Schreuders","",14,https://media.api-sports.io/football/players/394608.png,Midfielder,202
394665,18,,"",,"","Jarzinho Ataide Adriano de Nascimento Malanga","",47,https://media.api-sports.io/football/players/394665.png,Midfielder,172
394667,18,,"",,"","Almugera Raouf Mohammed Kabar","",42,https://media.api-sports.io/football/players/394667.png,Defender,165
394735,18,,"",,"","Maxim Bora Dal","",47,https://media.api-sports.io/football/players/394735.png,Defender,164
394740,18,,"",,"","D. Odogu","",33,https://media.api-sports.io/football/players/394740.png,Defender,161
394870,19,,"",,"","M. Oukhattou","",37,https://media.api-sports.io/football/players/394870.png,Midfielder,193
395040,18,,"",,"","G. Ilenikhena","",21,https://media.api-sports.io/football/players/395040.png,Attacker,91
395048,20,,"",,"","C. Fall","",31,https://media.api-sports.io/football/players/395048.png,Midfielder,1063
395559,17,,"",,"","Kerim-Sam Alajbegović","",47,https://media.api-sports.io/football/players/395559.png,Attacker,168
395760,18,,"",,"","Y. Issoufou","",39,https://media.api-sports.io/football/players/395760.png,Attacker,82
395761,18,,"",,"","M. Lambourde","",7,https://media.api-sports.io/football/players/395761.png,Attacker,504
395762,18,,"",,"","M. Amougou","",37,https://media.api-sports.io/football/players/395762.png,Midfielder,1063
395764,18,,"",,"","N. Ferro","",38,https://media.api-sports.io/football/players/395764.png,Midfielder,95
395765,18,,"",,"","I. Bouneb","",44,https://media.api-sports.io/football/players/395765.png,Midfielder,111
395808,18,,"",,"","Paul Argney","",50,https://media.api-sports.io/football/players/395808.png,Goalkeeper,111
395849,19,,"",,"","Thomas Berenbruch","",52,https://media.api-sports.io/football/players/395849.png,Midfielder,505
396308,18,,"",,"","Oumar Pona","",40,https://media.api-sports.io/football/players/396308.png,Goalkeeper,77
396475,19,,"",,"","Fran González","",26,https://media.api-sports.io/football/players/396475.png,Goalkeeper,541
396623,17,,"",,"","Pau Cubarsí Paredes","",2,https://media.api-sports.io/football/players/396623.png,Defender,529
396624,19,,"",,"","Sergi Domínguez","",36,https://media.api-sports.io/football/players/396624.png,Defender,529
396637,19,,"",,"","P. Comuzzo","",15,https://media.api-sports.io/football/players/396637.png,Defender,502
397740,34,,"",,"","K. WÃ¤tjen","",38,https://media.api-sports.io/football/players/397740.png,Midfielder,165
397941,18,,"",,"","Minsu Kim","",29,https://media.api-sports.io/football/players/397941.png,Attacker,547
397997,17,,"",,"","T. Nyoni","",98,https://media.api-sports.io/football/players/397997.png,Midfielder,40
399876,19,,"",,"","K. Razak","",35,https://media.api-sports.io/football/players/399876.png,Attacker,195
399893,18,,"",,"","B. Kiwa","",46,https://media.api-sports.io/football/players/399893.png,Defender,91
399906,19,,"",,"","O. Maamma","",14,https://media.api-sports.io/football/players/399906.png,Attacker,82
399910,18,,"",,"","Marc Aznar","",33,https://media.api-sports.io/football/players/399910.png,Defender,547
400750,18,,"",,"","Christopher Olivier","",31,https://media.api-sports.io/football/players/400750.png,Midfielder,172
400938,18,,"",,"","Iwan Morgan","",40,https://media.api-sports.io/football/players/400938.png,Attacker,55
400947,20,,"",,"","Carlos Reina","",,https://media.api-sports.io/football/players/400947.png,Midfielder,543
400948,19,,"",,"","Assane Diao","",38,https://media.api-sports.io/football/players/400948.png,Attacker,543
401098,16,,"",,"","L. Rawlings","",62,https://media.api-sports.io/football/players/401098.png,Midfielder,39
401333,18,,"",,"","L. Baret","",39,https://media.api-sports.io/football/players/401333.png,Midfielder,79
401568,20,,"",,"","M. Nzuzi","",35,https://media.api-sports.io/football/players/401568.png,Defender,1063
401575,20,,"",,"","W. Hasbi","",,https://media.api-sports.io/football/players/401575.png,Goalkeeper,95
402168,19,,"",,"","Arkaitz Mariezkurrena","",40,https://media.api-sports.io/football/players/402168.png,Attacker,548
402242,19,,"",,"","M. Bechikh","",,https://media.api-sports.io/football/players/402242.png,Attacker,95
402272,18,,"",,"","T. Land","",28,https://media.api-sports.io/football/players/402272.png,Midfielder,197
402280,20,,"",,"","A. Yaakobishvili","",35,https://media.api-sports.io/football/players/402280.png,Defender,547
402281,19,,"",,"",Silvi,"",28,https://media.api-sports.io/football/players/402281.png,Midfielder,547
402329,18,,"",,"","A. Heaven","",76,https://media.api-sports.io/football/players/402329.png,Defender,42
402432,20,,"",,"","Ben Winterburn","",47,https://media.api-sports.io/football/players/402432.png,Midfielder,35
403064,17,,"",,"","H. Amass","",41,https://media.api-sports.io/football/players/403064.png,Defender,33
403199,20,,"",,"","M. Mariani","",36,https://media.api-sports.io/football/players/403199.png,Defender,202
403554,21,,"",,"","Christantus Uche","",6,https://media.api-sports.io/football/players/403554.png,Midfielder,546
403633,19,,"",,"","J. Harder","",,https://media.api-sports.io/football/players/403633.png,Midfielder,502
404415,18,,"",,"","José Ángel","",41,https://media.api-sports.io/football/players/404415.png,Defender,540
404574,18,,"",,"","Luis Guilherme","",17,https://media.api-sports.io/football/players/404574.png,Attacker,48
404656,19,,"",,"","Jahmai Simpson-Pusey","",66,https://media.api-sports.io/football/players/404656.png,Defender,50
405073,18,,"",,"","Jon Martín","",31,https://media.api-sports.io/football/players/405073.png,Defender,548
405074,20,,"",,"","J. Kalumba","",17,https://media.api-sports.io/football/players/405074.png,Attacker,77
